E.C,TDS,Cl,NO3 ,Na,T.H,Mg,SAR,Ca,K,Classification
1100,704.0,130,57.577,60.61068885,419.9013158,58.344,1.286020128,72.0,3.0,Poor
1030,659.2,130,93.009,35.72279257,439.9342105,38.896,0.740497673,112.0,2.0,Poor
1055,675.2,90,110.725,48.39248297,419.9013158,58.344,1.026777757,72.0,6.0,Poor
695,444.8,70,27.4598,40.70985836,259.9177632,48.62,1.097877222,24.0,2.0,Moderate
1705,1091.2,220,35.432,164.0807686,499.8519737,87.516,3.190870214,56.0,3.5,Poor
1725,1104.0,190,53.148,102.3019911,639.7779605,131.274,1.758496923,40.0,7.0,Poor
1412,903.68,160,263.5255,115.8534108,459.9259868,43.758,2.348751193,112.0,1.0,Poor
922,590.08,130,95.2235,103.5167455,239.9342105,38.896,2.905605748,32.0,0.5,Poor
967,618.88,20,64.2205,22.00807446,439.8519737,87.516,0.456247963,32.0,0.5,Poor
1285,822.4,70,28.98981818,200.0,239.9259868,43.758,5.613885037,24.0,2.0,Poor
612,391.68,40,53.34931818,74.0,159.9588816,24.31,2.543898061,24.0,2.0,Moderate
702,449.28,40,54.55722727,84.0,179.9753289,14.586,2.722356283,48.0,2.0,Moderate
549,351.36,30,25.36609091,51.0,179.9506579,29.172,1.652972471,24.0,1.0,Moderate
679,434.56,40,21.74236364,68.0,199.9424342,34.034,2.0908775,24.0,0.3,Moderate
674,431.36,30,16.30677273,55.0,239.9259868,43.758,1.543818385,32.0,15.0,Moderate
1846,1181.44,260,82.54045455,249.0,379.9013158,58.344,5.554386698,56.0,2.0,Poor
1296,829.44,30,6.844818182,141.0,379.8848684,68.068,3.145323206,40.0,2.0,Poor
1135,726.4,70,64.42181818,92.0,359.8930921,63.206,2.108498207,40.0,1.0,Poor
1212,775.68,90,68.44818182,59.0,479.8601974,82.654,1.171026738,56.0,3.0,Poor
1096,701.44,50,70.46136364,103.0,319.8848684,68.068,2.503874402,16.0,1.0,Poor
1896,1213.44,260,82.54045455,306.0,259.9259868,43.758,8.252180899,32.0,9.0,Poor
212,135.68,20,22.54763636,22.0,59.98355263,9.724,1.235033542,8.0,1.0,Good
1774,1135.36,260,102.6722727,166.0,519.8519737,87.516,3.165486046,64.0,2.0,Poor
398,254.72,50,1.99305,35.93565348,119.9917763,4.862,1.426336413,40.0,2.25,Moderate
637,407.68,50,1.10725,63.72342624,179.9588816,24.31,2.065307109,32.0,2.5,Moderate
711,455.04,100,7.0864,71.00984334,199.9671053,19.448,2.183290066,48.0,3.69,Moderate
517,330.88,40,1.99305,53.76548932,139.9835526,9.724,1.975773977,40.0,3.3,Moderate
1941,1242.24,250,14.6157,274.7317129,379.8930921,63.206,6.128444532,48.0,2.4,Poor
1546,989.44,270,188.2325,99.51565681,559.8519737,87.516,1.82863476,80.0,3.55,Poor
1669,1068.16,350,133.7558,64.66671084,699.8355263,97.24,1.062808314,120.0,1.9,Poor
